"Statistic","Value"
"Mother_LocVar_Decrease_CI_Upper",0.35
"Mother_LocVar_Decrease_EvidenceRatio",1.4
"Mother_LocVar_Decrease_PostProb",0.58
"Father_LocVar_Decrease_Estimate",0.33
"Father_LocVar_Decrease_CI_Lower",-0.22
"Father_LocVar_Decrease_CI_Upper",0.58
"Father_LocVar_Decrease_EvidenceRatio",0.2
"Father_LocVar_Decrease_PostProb",0.14
"Mother_LocVar_StayHome_Estimate",1.09
"Mother_LocVar_StayHome_CI_Lower",0.86
"Mother_LocVar_StayHome_CI_Upper",1.41
"Mother_LocVar_StayHome_EvidenceRatio",3.6
"Mother_LocVar_StayHome_PostProb",0.78
"Mother_LocVar_StayHome_OddsRatio",2.97
"Mother_LocVar_StayHome_OR_CI_Lower",2.36
"Mother_LocVar_StayHome_OR_CI_Upper",4.1
"Father_LocVar_StayHome_Estimate",1.02
"Father_LocVar_StayHome_CI_Lower",0.77
"Father_LocVar_StayHome_CI_Upper",1.39
"Father_LocVar_StayHome_EvidenceRatio",1.4
"Father_LocVar_StayHome_PostProb",0.58
"Father_LocVar_StayHome_OddsRatio",2.77
"Father_LocVar_StayHome_OR_CI_Lower",2.16
"Father_LocVar_StayHome_OR_CI_Upper",4.01
"MotherVsFather_MaxDist_GreaterDecrease_Estimate",0.46
"MotherVsFather_MaxDist_GreaterDecrease_CI_Lower",0.09
"MotherVsFather_MaxDist_GreaterDecrease_CI_Upper",0.84
"MotherVsFather_MaxDist_GreaterDecrease_EvidenceRatio",0
"MotherVsFather_MaxDist_GreaterDecrease_PostProb",0.01
"MotherVsFather_MaxDist_SmallerStayOdds_Estimate",0.19
"MotherVsFather_MaxDist_SmallerStayOdds_CI_Lower",-0.08
"MotherVsFather_MaxDist_SmallerStayOdds_CI_Upper",0.47
"MotherVsFather_MaxDist_SmallerStayOdds_EvidenceRatio",0.1
"MotherVsFather_MaxDist_SmallerStayOdds_PostProb",0.08
"MotherVsFather_MaxDist_SmallerStayOdds_OddsRatio",1.21
"MotherVsFather_MaxDist_SmallerStayOdds_OR_CI_Lower",0.92
"MotherVsFather_MaxDist_SmallerStayOdds_OR_CI_Upper",1.6
"MotherVsFather_HomeTime_GreaterIncrease_Estimate",0.11
"MotherVsFather_HomeTime_GreaterIncrease_CI_Lower",-0.17
"MotherVsFather_HomeTime_GreaterIncrease_CI_Upper",0.37
"MotherVsFather_HomeTime_GreaterIncrease_EvidenceRatio",3.5
"MotherVsFather_HomeTime_GreaterIncrease_PostProb",0.78
"MotherVsFather_HomeTime_HigherStayOdds_Estimate",0.32
"MotherVsFather_HomeTime_HigherStayOdds_CI_Lower",-0.39
"MotherVsFather_HomeTime_HigherStayOdds_CI_Upper",1.27
"MotherVsFather_HomeTime_HigherStayOdds_EvidenceRatio",4.2
"MotherVsFather_HomeTime_HigherStayOdds_PostProb",0.81
"MotherVsFather_HomeTime_HigherStayOdds_OddsRatio",1.38
"MotherVsFather_HomeTime_HigherStayOdds_OR_CI_Lower",0.68
"MotherVsFather_HomeTime_HigherStayOdds_OR_CI_Upper",3.56
"MotherVsFather_LocVar_GreaterDecrease_Estimate",-0.33
"MotherVsFather_LocVar_GreaterDecrease_CI_Lower",-0.6
"MotherVsFather_LocVar_GreaterDecrease_CI_Upper",0.38
"MotherVsFather_LocVar_GreaterDecrease_EvidenceRatio",3.8
"MotherVsFather_LocVar_GreaterDecrease_PostProb",0.79
"MotherVsFather_LocVar_HigherStayOdds_Estimate",0.07
"MotherVsFather_LocVar_HigherStayOdds_CI_Lower",-0.34
"MotherVsFather_LocVar_HigherStayOdds_CI_Upper",0.42
"MotherVsFather_LocVar_HigherStayOdds_EvidenceRatio",1.7
"MotherVsFather_LocVar_HigherStayOdds_PostProb",0.63
"MotherVsFather_LocVar_HigherStayOdds_OddsRatio",1.07
"MotherVsFather_LocVar_HigherStayOdds_OR_CI_Lower",0.71
"MotherVsFather_LocVar_HigherStayOdds_OR_CI_Upper",1.52
